dataset,tool,precision,recall
stingseq,alphagenome,0.3215686274509804,0.6259541984732825
stingseq,alphagenome,0.3188976377952756,0.6183206106870229
stingseq,alphagenome,0.3201581027667984,0.6183206106870229
stingseq,alphagenome,0.32142857142857145,0.6183206106870229
stingseq,alphagenome,0.32270916334661354,0.6183206106870229
stingseq,alphagenome,0.324,0.6183206106870229
stingseq,alphagenome,0.3253012048192771,0.6183206106870229
stingseq,alphagenome,0.32661290322580644,0.6183206106870229
stingseq,alphagenome,0.32388663967611336,0.6106870229007634
stingseq,alphagenome,0.3252032520325203,0.6106870229007634
stingseq,alphagenome,0.3224489795918367,0.6030534351145038
stingseq,alphagenome,0.3237704918032787,0.6030534351145038
stingseq,alphagenome,0.32510288065843623,0.6030534351145038
stingseq,alphagenome,0.32644628099173556,0.6030534351145038
stingseq,alphagenome,0.3278008298755187,0.6030534351145038
stingseq,alphagenome,0.32916666666666666,0.6030534351145038
stingseq,alphagenome,0.3305439330543933,0.6030534351145038
stingseq,alphagenome,0.3277310924369748,0.5954198473282443
stingseq,alphagenome,0.3291139240506329,0.5954198473282443
stingseq,alphagenome,0.3305084745762712,0.5954198473282443
stingseq,alphagenome,0.33191489361702126,0.5954198473282443
stingseq,alphagenome,0.32905982905982906,0.5877862595419847
stingseq,alphagenome,0.33047210300429186,0.5877862595419847
stingseq,alphagenome,0.33189655172413796,0.5877862595419847
stingseq,alphagenome,0.329004329004329,0.5801526717557252
stingseq,alphagenome,0.33043478260869563,0.5801526717557252
stingseq,alphagenome,0.3318777292576419,0.5801526717557252
stingseq,alphagenome,0.32894736842105265,0.5725190839694656
stingseq,alphagenome,0.3303964757709251,0.5725190839694656
stingseq,alphagenome,0.33185840707964603,0.5725190839694656
stingseq,alphagenome,0.3333333333333333,0.5725190839694656
stingseq,alphagenome,0.33482142857142855,0.5725190839694656
stingseq,alphagenome,0.336322869955157,0.5725190839694656
stingseq,alphagenome,0.33783783783783783,0.5725190839694656
stingseq,alphagenome,0.3393665158371041,0.5725190839694656
stingseq,alphagenome,0.3409090909090909,0.5725190839694656
stingseq,alphagenome,0.3424657534246575,0.5725190839694656
stingseq,alphagenome,0.3394495412844037,0.5648854961832062
stingseq,alphagenome,0.33640552995391704,0.5572519083969466
stingseq,alphagenome,0.33796296296296297,0.5572519083969466
stingseq,alphagenome,0.33488372093023255,0.549618320610687
stingseq,alphagenome,0.3317757009345794,0.5419847328244275
stingseq,alphagenome,0.3333333333333333,0.5419847328244275
stingseq,alphagenome,0.33490566037735847,0.5419847328244275
stingseq,alphagenome,0.33175355450236965,0.5343511450381679
stingseq,alphagenome,0.3333333333333333,0.5343511450381679
stingseq,alphagenome,0.3349282296650718,0.5343511450381679
stingseq,alphagenome,0.3317307692307692,0.5267175572519084
stingseq,alphagenome,0.3333333333333333,0.5267175572519084
stingseq,alphagenome,0.33495145631067963,0.5267175572519084
stingseq,alphagenome,0.33658536585365856,0.5267175572519084
stingseq,alphagenome,0.3333333333333333,0.5190839694656488
